# apt_installed
# generated_at=2026-02-20T17:34:31-03:00
# shell=dpkg-query -W -f='${Package}\t${Version}\n' | LC_ALL=C sort

7zip	23.01+dfsg-11
espeak-ng-data	1.51+dfsg-12build1
ethtool	1:6.7-1build1
evince	46.3.1-0ubuntu1
evince-common	46.3.1-0ubuntu1
evolution-data-server	3.52.3-0ubuntu1.1
evolution-data-server-common	3.52.3-0ubuntu1.1
fakeroot	1.33-1
fdisk	2.39.3-9ubuntu6.4
ffmpeg	7:6.1.1-3ubuntu5
file	1:5.45-3build1
file-roller	44.3-0ubuntu1
findutils	4.9.0-5build1
firebird3.0-common	3.0.11.33703.ds4-2ubuntu2
firebird3.0-common-doc	3.0.11.33703.ds4-2ubuntu2
firebird3.0-server-core	3.0.11.33703.ds4-2ubuntu2
firebird3.0-utils	3.0.11.33703.ds4-2ubuntu2
firefox	1:1snap1-0ubuntu5
firmware-sof-signed	2023.12.1-1ubuntu1.10
fontconfig	2.15.0-1.1ubuntu2
fontconfig-config	2.15.0-1.1ubuntu2
fonts-crosextra-caladea	20200211-2
fonts-crosextra-carlito	20230309-2
fonts-dejavu	2.37-8
fonts-dejavu-core	2.37-8
fonts-dejavu-extra	2.37-8
fonts-dejavu-mono	2.37-8
fonts-droid-fallback	1:6.0.1r16-1.1build1
fonts-freefont-ttf	20211204+svn4273-2
fonts-liberation	1:2.1.5-3
fonts-liberation-sans-narrow	1:1.07.6-4
fonts-linuxlibertine	5.3.0-6
fonts-noto-cjk	1:20230817+repack1-3
fonts-noto-color-emoji	2.047-0ubuntu0.24.04.1
fonts-noto-core	20201225-2
fonts-noto-extra	20201225-2
fonts-noto-mono	20201225-2
fonts-noto-ui-core	20201225-2
fonts-opensymbol	4:102.12+LibO24.2.7-0ubuntu0.24.04.4
fonts-sil-gentium	20081126:1.03-4
fonts-sil-gentium-basic	1.102-1.1
fonts-ubuntu	0.869+git20240321-0ubuntu1
fonts-urw-base35	20200910-8
foomatic-db-compressed-ppds	20230202-1
fprintd	1.94.3-1
friendly-recovery	0.2.42
ftp	20230507-2build3
fuse3	3.14.0-5build1
fwupd	1.9.33-0ubuntu1~24.04.1ubuntu1
fwupd-signed	1.52+1.4-1
g++	4:13.2.0-7ubuntu1
g++-13	13.3.0-6ubuntu2~24.04.1
g++-13-x86-64-linux-gnu	13.3.0-6ubuntu2~24.04.1
g++-x86-64-linux-gnu	4:13.2.0-7ubuntu1
gamemode	1.8.1-2build1
gamemode-daemon	1.8.1-2build1
gcc	4:13.2.0-7ubuntu1
gcc-13	13.3.0-6ubuntu2~24.04.1
gcc-13-base	13.3.0-6ubuntu2~24.04.1
